Asin,title,description,"product Url",price,quantity,created_at
B07Z28DGHM,"18 Gauge 14k Gold Filled Cartilage Hoop 7 mm solid gold Hoop Earring, Helix piercing Earrings",,https://www.amazon.com/dp/B07Z28DGHM?ref=myi_title_dp,9.99,0,"31/08/22, 08:44:53"
B07Y7D1PFQ,"Tiny Nose Ring Hoop 20 G Nose Piercings Hoop - 14K Gold Filled Nose Piercings hoop","Nose Ring 7mm 20 Gauge - 14K Gold Filled Nose PiercingsHandmade 14k Gold Filled Tiny Nose Ring.size : 7mm Hoop diameter 20 G Wire Thickness.Gift ready in a small box .",https://www.amazon.com/dp/B07Y7D1PFQ?ref=myi_title_dp,8.99,0,"01/09/22, 07:17:13"
B083M7219D,"Tiny Beaded Nose Ring 14k Gold Filled 7mm Diameter Nose Hoop Ring 24 G Wire Thickness Nose Piercing Jewelry for Women Hypoallergenic Nose Ring","Our small gold filled hoop earring are classic, timeless and traditional hand crafted to give the perfect amount of elegance to your outfit. We committed to designing top-class quality body jewelry which is beauty in simplicity. Piercing jewelry is so popular and a handcrafted piece makes a really special gift for anyone that loves their piercings. Small Hoop Design Perfect for Nose, Cartilage, Septum, Tragus, Rook, Lips, Conch Piercing, Helix earrings, Belly Ring and Nipple Piercing. Very easy to open / close a click closure by hand. Smooth surface, comfortable to wear without sharp edge. Match with suitable apparel for different occasion.This 24 G 7mm gold ring is very Small! If your nostril piercing is higher we don't suggest 7mm Hoop nose ring. Best suitable for women. This ring's size info: 24 gauge, inner diameter 7mm. Sold individually. This can be used as nose ring for nostril piercing but piercing is closer to the edge, helix earring hoop, forward helix earring, rook earrings, daith earrings, tragus earrings hoop, cartilage earring hoop and second or third lobe piercing hoop. This nose ring body jewelry for women is easy to open and close. Nice and tiny. Extremely comfortable, perfect for everyday use. It is the perfect gift to expand a women’s fashion wardrobe with a classic timeless style. This cartilage endless hoop earring can be use as a gift for Birthday, Christmas, Mother’s Day, Valentines Day, Anniversaries, etc. 100% Satisfaction Guaranteed -If you’re not satisfied with this product after purchased you will get back your money. Feel free to contact us if you have any questions.",https://www.amazon.com/dp/B083M7219D?ref=myi_title_dp,10.99,0,"01/09/22, 07:17:20"
B09SHP8F5R,"Helix Arrow Shape Stud - Sterling Silver Cartilage Post Arrow Shaped Silver Helix Arrow Screw","Helix Stud Earring Arrow Shaped 22 Gauge - 925 Sterling Silver Cartilage Post Handmade 925 Sterling Silver Tiny Helix Studs. 22 G Wire Thickness. Best gifts for Birthdays, Anniversaries, Valentine's Day, Mother's Day or any other festivals, very popular with women and girls .Fits Every Occasion - it will fit any outfit and setting. Great Value - this super dainty and very classic helix stud are hypoallergenic, nickel-free,lightweight and comfortable to wear 100% costumer satisfaction Check out our store for more :)► 100% 925 Sterling Silver ✔ ► Tarnish Resistant ✔ ► 30 days return policy ✔ ► we ship all items in a jewelry gift box ✔",https://www.amazon.com/dp/B09SHP8F5R?ref=myi_title_dp,10.99,0,"01/09/22, 07:17:43"
B083M786W2,"Fake Nose Ring - No piercing needed - 14K Gold Filled Faux Nose Piercings","Fake Nose Ring 7mm 24 Gauge - 14K Gold Filled Faux Nose PiercingsHandmade 14k Gold Filled Tiny Fake Nose hoop, No piercing neededsize :Adjustable 7-8mm Hoop diameter24 G Wire Thickness. Best gifts for Birthdays, Anniversaries, Valentine's Day, Mother's Day or any other festivals, very popular with women and girls .Fits Every Occasion - it will fit any outfit and setting. Great Value - this super dainty and very classic fake nose hoop is hypoallergenic, nickel-free,lightweight and comfortable to wear 100% costumer satisfaction Check out our store for more :)► 100% 14K Gold Fiiled ✔ ► Tarnish Resistant ✔ ► No Allergic reaction ✔ ► 30 days return policy ✔ ► we ship all items in a jewelry gift box ✔",https://www.amazon.com/dp/B083M786W2?ref=myi_title_dp,10.99,0,"01/09/22, 07:17:56"
B09VFNNMZQ,"Wrapped Fake Septum Ring 20G - Faux Septum Nose Piercing 14k Gold Filled - Tiny no piercing needed clip on septum jewelry","Tiny wrapped fake septum Ring 7mm 20 Gauge - 14K Gold Filled faux septum non Piercing needed Handmade 14K Gold Filled. size : 7mm open Hoop diameter 20 G Wire Thickness. These fake nose piercings are perfect for those who dont have piercings. Wearing a nose ring has become a trend that leads fashion. The delicate nose ring jewelry is not only attractive but also full of a youthful atmosphere. Gold filled clip-on nose ring fake nose hoops for women and men are simple and elegant for daily jewelry. br> Best gifts for Birthdays, Anniversaries, Valentine's Day, Mother's Day or any other festivals, very popular with women and girls .Fits Every Occasion - it will fit any outfit and setting. Great Value - this super dainty and very classic fake septum piercings are hypoallergenic, nickel-free,lightweight and comfortable to wear 100% costumer satisfaction Check out our store for more :)Get one piece gold filled fake septum fake nose ring 20 Gauge, Can Be Worn On as Septum Rings and non piercing nose ring. Used As Fake Nose Rings, Lip Cuff, faux nose piercing jewelry. Fake nose ring hoop : 14k gold rings for women faux nose rings hoop, 7mm Hoop diameter 20 G Wire Thickness. Perfect Size for Men and Women. High Polish Smooth Surface, Comfortable to Wear. Simple and elegant for daily jewelry Gift and Packaging - Ideal Gift for Birthday,Holiday,Graduation,Christmas,Mother’s Day,Valentine’s Day, Wedding,Anniversaries,etc. This Nose Rings Hoops Nose Cuff will be the Surprise Gift for your Mother,Sisters,Daughter,Wife or Your Friends. Perfect fake septum nose ring design, Tragus, Rook, Lips, Conch piercing, Nose piercing, Belly Ring and Nipple Piercing. Very easy to open/close a click closure by hand. Match with suitable apparel for different occasions. Handmade Fake Nose Piercing - Our small fake gold filled septum piercing are classic,timeless and traditional hand crafted to give the perfect amount of elegance to your outfit. We committed to designing top-class quality jewelry which is beauty in simplicity.",https://www.amazon.com/dp/B09VFNNMZQ?ref=myi_title_dp,10.99,0,"01/09/22, 07:44:07"
B08SMFPHGP,"Small Silver Nose Ring 20G Piercing Hoop, Tiny 7mm Nose Piercings Ring - 925 Sterling Silver Nose Ring Jewelry","Nose Ring 7mm 20 Gauge - 925 Sterling Silver Nose Piercings br> Handmade 925 Sterling Silver Tiny Nose Ring Piercing Hoop, piercing is needed size : 7-8mm Hoop diameter 20 G Wire Thickness. Best gifts for Birthdays, Anniversaries, Valentine's Day, Mother's Day or any other festivals, very popular with women and girls .Fits Every Occasion - it will fit any outfit and setting. Great Value - this super dainty and very classic nose ring hoop is hypoallergenic, nickel-free,lightweight and comfortable to wear 100% costumer satisfaction Check out our store for more :)► 100% 925 Sterling Silver ✔ ► Tarnish Resistant ✔ ► No Allergic reaction ✔ ► 30 days return policy ✔ ► we ship all items in a jewelry gift box ✔",https://www.amazon.com/dp/B08SMFPHGP?ref=myi_title_dp,9.99,0,"01/09/22, 07:44:35"
B08RNQWNP1,"Silver Hoop Earrings, Dainty Hoop Earrings with Green 3mm Opal - Small 20 Gauge Cartilage Earring, Nose Piercing,Helix Hoop Ring, A Pair Of 2 Huggie Hoop Earrings","Our classic yet dainty collection is perfect to add an eccentric and elegant charm to your everyday style and give a fresh spin to your look and fashion. This popular and handcrafted pieces makes a really special gift for anyone that loves their piercings. Details: Size: 9 mm Nose Hoop Ring (diameter) Hoop Earrings 925 Sterling Silver Green Opal Hoop Earrings 20 Gauge Wire Thickness Can be also used as Lip Ring, Septum Ring, Tragus Hoop And Belly Button Ring Best gifts for Birthdays, Anniversaries, Valentine's Day, Mother's Day or any other festivals, very popular with women and girls .Fits Every Occasion - it will fit any outfit and setting. Great Value - these super dainty and very classic ear hoops are hypoallergenic, nickel-free,lightweight and comfortable to wear 100% costumer satisfaction Check out our store for more :)Great Size - Inner diameter 9mm. Classic round hinged Segment hoops design, easier to put on or take off. Simplistic and delicate looking, classic and stylish, suitable for men and women. Made of fine 925 Sterling Silver. These tiny 3mm green opals cartilage earring 20 gauge with 9mm hoop diameter is hypoallergenic, tarnish free and nickel free, which is good for sensitive ears. Gift and Packaging - Ideal Gift for Birthday, Holiday, Graduation, Christmas, Mother’s Day, Valentine’s Day, Wedding, Anniversaries,etc. This Ear Hoop Earring will be the Surprise Gift for your Mother, Sisters, Daughter, Wife or Your Friends. Small Hoop Design Perfect for Nose, Cartilage, Septum, Tragus, Rook, Lips, Conch Piercing, Helix earrings, Belly Ring and Nipple Piercing with cute green opal. Very easy to open/close a click closure by hand. Smooth surface, comfortable to wear without sharp edge. Match with suitable apparel for different occasion. HANDMADE EARRINGS - Our small silver hoop earrings are classic,timeless and traditional hand crafted to give the perfect amount of elegance to your outfit. We committed to designing top-class quality jewelry which is beauty in simplicity.",https://www.amazon.com/dp/B08RNQWNP1?ref=myi_title_dp,12.99,0,"01/09/22, 07:45:09"
B08RNTY1C4,"3 Gold Hoop Earrings | Small 14k Gold Filled Loop Earrings | 20 Gauge Wire Thickness | Hypoallergenic Earrings | Sensitive Earrings for Women | 3 Different Sizes 6, 8, 10mm Hoops Diameter","Handmade with Excellent Quality - Material Metal Gold Filled Earrings Hoops, hypoallergenic, sensitive to the health of the ears, light and comfortable to wear, simple, elegant, classic, suitable for any occasion. It is lightweight earrings comes in 3 different size 6, 8, 10mm Hoops Diameter. Dainty hoop earrings fit for all-day comfort. Perfect Gold Earrings for women. This small hoop earrings for women is design for daily wear, it not only can be used as gold hoop earrings, cliker nose rings, Conch Piercing, lip rings, daith Piercing cartilage hoop earrings, eyebrow rings , nipple rings etc. Made with love This handmade hoop earrings set is beautifully packaged and ready to give. It is a sentimental surprise for any amazing woman. Great gift for mom or grandma on mother's day, birthday, anniversary, or wedding celebration. Your Satisfaction is Guaranteed, We offer money-back guarantee, no questions asked.",https://www.amazon.com/dp/B08RNTY1C4?ref=myi_title_dp,11.99,0,"01/09/22, 07:45:17"
B081N9YK7N,"Opal Nose Ring Hoop Piercings - 20G Opal Nose Piercing ring - 925 sterling silver Light Blue Opal Nose rings","20g nose ring 3 mm Light Blue Opal Nose Ring 7-8mm - 925 Sterling Silver Nose Piercings HoopHandmade 925 sterling silver , 3mm Light Blue Opal Nose Ring.size : 7-8mm Hoop diameter20 G Wire Thickness - 0.8mmGift ready in a small box . Best gifts for Birthdays, Anniversaries, Valentine's Day, Mother's Day or any other festivals, very popular with women and girls .Fits Every Occasion - it will fit any outfit and setting. Great Value - These super dainty and very classic earring are hypoallergenic, nickel-free,lightweight and comfortable to wear. CHECK OUT OUR STORE FOR MORE► 100% 925 Sterling Silver ✔ ► Tarnish Resistant ✔ ► No Allergic reaction ✔ ► 30 days return policy ✔ ► we ship all items in a jewelry gift box ✔",https://www.amazon.com/dp/B081N9YK7N?ref=myi_title_dp,11.99,0,"01/09/22, 07:45:26"
